age,height_rounded,weight_rounded,veges_freq,main_meals_num,daily_water_consumption,physical_activity_freq,tech_devices_usage,high_kcal_food,transport_used,snacks_consuming,smoking,kcal_monitoring,alcohol_consumption,gender,bmi
41,1.8,99.0,Sometimes,Three,1-2L,4-5 days,3-5h,yes,Automobile,Sometimes,no,no,Frequently,Male,27.5
23,1.77,60.0,Always,One/Two,<1L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,16.949152542372882
22,1.7,66.0,Always,Three,1-2L,4-5 days,3-5h,no,Public_Transportation,Always,no,yes,Sometimes,Female,19.411764705882355
27,1.93,102.0,Sometimes,One/Two,<1L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,26.424870466321245
29,1.53,78.0,Sometimes,One/Two,1-2L,0 days,0-2h,yes,Automobile,Sometimes,no,no,no,Female,25.49019607843137
30,1.71,82.0,Always,More than 3,<1L,0 days,0-2h,yes,Automobile,Frequently,yes,no,no,Female,23.976608187134502
23,1.65,70.0,Sometimes,One/Two,1-2L,0 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Female,21.212121212121215
22,1.65,80.0,Sometimes,Three,1-2L,2-4 days,>5h,no,Walking,Sometimes,no,no,no,Male,24.242424242424242
52,1.69,87.0,Always,One/Two,1-2L,0 days,0-2h,yes,Automobile,Sometimes,yes,no,no,Female,25.7396449704142
22,1.65,60.0,Always,Three,1-2L,1-2 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Female,18.181818181818183
22,1.6,82.0,Never,One/Two,1-2L,0 days,>5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,25.625
21,1.85,68.0,Sometimes,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,18.37837837837838
20,1.6,50.0,Sometimes,More than 3,1-2L,2-4 days,>5h,no,Public_Transportation,Frequently,yes,no,no,Male,15.625
21,1.7,65.0,Sometimes,One/Two,1-2L,1-2 days,>5h,yes,Walking,Frequently,no,no,Always,Male,19.11764705882353
23,1.6,52.0,Sometimes,More than 3,1-2L,4-5 days,3-5h,yes,Automobile,Frequently,no,no,Sometimes,Female,16.25
19,1.75,76.0,Always,Three,1-2L,2-4 days,3-5h,yes,Public_Transportation,Sometimes,no,yes,Sometimes,Male,21.714285714285715
23,1.68,70.0,Sometimes,Three,1-2L,4-5 days,>5h,yes,Walking,Sometimes,no,no,Frequently,Male,20.833333333333336
29,1.77,83.0,Never,More than 3,>2L,0 days,3-5h,yes,Motorbike,Frequently,no,no,no,Male,23.44632768361582
31,1.58,68.0,Sometimes,One/Two,<1L,1-2 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Female,21.51898734177215
24,1.77,76.0,Sometimes,Three,>2L,1-2 days,3-5h,no,Walking,Sometimes,no,no,Sometimes,Female,21.468926553672315
39,1.79,90.0,Sometimes,One/Two,1-2L,0 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Male,25.139664804469273
22,1.65,62.0,Sometimes,More than 3,1-2L,4-5 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,18.78787878787879
21,1.5,65.0,Sometimes,Three,1-2L,4-5 days,>5h,no,Public_Transportation,Sometimes,no,no,Sometimes,Female,21.666666666666668
22,1.56,49.0,Sometimes,Three,<1L,4-5 days,0-2h,yes,Walking,Sometimes,no,yes,no,Female,15.705128205128204
21,1.6,48.0,Sometimes,Three,<1L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,15.0
23,1.65,67.0,Sometimes,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,20.303030303030305
21,1.75,88.0,Sometimes,Three,>2L,2-4 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,25.142857142857142
21,1.67,75.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,22.455089820359284
23,1.68,60.0,Sometimes,More than 3,1-2L,0 days,0-2h,no,Walking,Frequently,no,no,no,Male,17.857142857142858
21,1.66,64.0,Never,Three,<1L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Female,19.27710843373494
21,1.66,62.0,Sometimes,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,yes,no,Frequently,Male,18.674698795180724
21,1.81,80.0,Never,Three,1-2L,4-5 days,0-2h,no,Public_Transportation,no,no,no,no,Male,22.099447513812155
21,1.53,65.0,Sometimes,Three,<1L,0 days,3-5h,no,Public_Transportation,Sometimes,no,no,no,Female,21.241830065359476
21,1.82,72.0,Never,Three,>2L,4-5 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,19.78021978021978
21,1.75,72.0,Never,Three,>2L,4-5 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,20.571428571428573
20,1.66,60.0,Always,Three,1-2L,1-2 days,0-2h,no,Walking,Sometimes,no,no,Sometimes,Female,18.072289156626507
21,1.55,50.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,16.129032258064516
21,1.61,54.5,Always,Three,>2L,0 days,3-5h,yes,Walking,Sometimes,no,no,Sometimes,Female,16.925465838509314
20,1.5,44.0,Sometimes,Three,<1L,0 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Female,14.666666666666666
23,1.64,52.0,Always,One/Two,1-2L,4-5 days,>5h,yes,Public_Transportation,Sometimes,no,no,no,Female,15.853658536585368
23,1.63,55.0,Always,Three,1-2L,4-5 days,3-5h,no,Public_Transportation,no,no,yes,no,Female,16.87116564417178
22,1.6,55.0,Always,More than 3,>2L,4-5 days,0-2h,no,Public_Transportation,Always,no,no,no,Female,17.1875
23,1.68,62.0,Sometimes,More than 3,1-2L,0 days,0-2h,no,Automobile,Frequently,no,no,Sometimes,Male,18.452380952380953
22,1.7,70.0,Sometimes,Three,<1L,0 days,3-5h,yes,Automobile,Sometimes,no,no,Sometimes,Male,20.58823529411765
21,1.64,65.0,Sometimes,Three,<1L,0 days,3-5h,no,Public_Transportation,Sometimes,no,no,no,Male,19.81707317073171
17,1.65,67.0,Always,One/Two,1-2L,1-2 days,3-5h,yes,Walking,Sometimes,no,no,no,Female,20.303030303030305
20,1.76,55.0,Sometimes,More than 3,>2L,4-5 days,>5h,yes,Public_Transportation,Sometimes,no,no,no,Male,15.625
21,1.55,49.0,Sometimes,Three,>2L,2-4 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,15.806451612903226
20,1.65,58.0,Sometimes,Three,1-2L,2-4 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,17.575757575757578
22,1.67,62.0,Sometimes,One/Two,1-2L,0 days,0-2h,yes,Public_Transportation,no,no,no,Sometimes,Male,18.562874251497007
22,1.68,55.0,Sometimes,Three,1-2L,0 days,>5h,yes,Automobile,Sometimes,no,no,Sometimes,Male,16.36904761904762
21,1.66,57.0,Sometimes,Three,<1L,1-2 days,3-5h,yes,Public_Transportation,Frequently,no,no,no,Female,17.168674698795183
21,1.62,69.0,Never,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Frequently,no,no,no,Female,21.296296296296294
23,1.8,90.0,Never,Three,1-2L,0 days,>5h,yes,Public_Transportation,Always,no,no,Frequently,Male,25.0
23,1.65,95.0,Sometimes,Three,1-2L,0 days,3-5h,yes,Automobile,Always,no,no,Frequently,Male,28.78787878787879
30,1.76,112.0,Never,Three,1-2L,0 days,0-2h,yes,Automobile,no,yes,yes,Frequently,Male,31.818181818181817
23,1.8,60.0,Sometimes,Three,>2L,0 days,3-5h,no,Public_Transportation,no,no,no,Sometimes,Male,16.666666666666668
23,1.65,80.0,Sometimes,Three,1-2L,0 days,>5h,yes,Public_Transportation,Always,no,no,no,Female,24.242424242424242
22,1.67,50.0,Always,Three,>2L,4-5 days,3-5h,no,Public_Transportation,no,no,yes,Sometimes,Female,14.970059880239521
24,1.65,60.0,Sometimes,Three,>2L,1-2 days,0-2h,no,Public_Transportation,Sometimes,no,yes,no,Female,18.181818181818183
19,1.85,65.0,Sometimes,Three,>2L,4-5 days,3-5h,no,Bike,Sometimes,no,no,Sometimes,Male,17.56756756756757
24,1.7,85.0,Sometimes,Three,>2L,0 days,3-5h,yes,Public_Transportation,Frequently,no,no,Frequently,Male,25.0
23,1.63,45.0,Always,Three,>2L,4-5 days,0-2h,no,Public_Transportation,Sometimes,no,yes,no,Female,13.803680981595093
24,1.6,45.0,Sometimes,Three,1-2L,1-2 days,0-2h,no,Public_Transportation,no,no,no,no,Female,14.0625
24,1.7,80.0,Sometimes,Three,>2L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Female,23.529411764705884
23,1.65,90.0,Sometimes,Three,>2L,0 days,3-5h,yes,Public_Transportation,Sometimes,no,no,no,Female,27.272727272727273
23,1.65,60.0,Sometimes,Three,1-2L,0 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Male,18.181818181818183
19,1.63,58.0,Always,Three,1-2L,0 days,0-2h,no,Public_Transportation,Sometimes,no,yes,no,Female,17.791411042944787
30,1.8,91.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,25.27777777777778
23,1.67,85.5,Sometimes,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Always,no,no,no,Male,25.59880239520958
19,1.6,45.0,Always,Three,>2L,4-5 days,0-2h,no,Walking,no,no,yes,no,Female,14.0625
25,1.7,83.0,Sometimes,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,24.411764705882355
23,1.65,58.5,Sometimes,Three,1-2L,0 days,0-2h,no,Public_Transportation,Sometimes,no,no,no,Male,17.727272727272727
21,1.85,83.0,Sometimes,One/Two,>2L,1-2 days,0-2h,yes,Public_Transportation,Frequently,no,no,no,Male,22.43243243243243
19,1.82,87.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Male,23.9010989010989
22,1.65,65.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Automobile,Frequently,no,yes,no,Female,19.6969696969697
29,1.7,78.0,Always,Three,<1L,4-5 days,3-5h,yes,Automobile,Sometimes,no,no,Frequently,Female,22.941176470588236
25,1.63,93.0,Always,More than 3,<1L,4-5 days,0-2h,no,Public_Transportation,Always,no,no,no,Female,28.52760736196319
20,1.61,64.0,Always,Three,1-2L,0 days,3-5h,no,Public_Transportation,Always,no,yes,Frequently,Female,19.875776397515526
55,1.78,84.0,Always,More than 3,>2L,2-4 days,0-2h,no,Walking,Frequently,no,yes,Frequently,Male,23.595505617977526
20,1.6,57.0,Always,Three,1-2L,1-2 days,0-2h,no,Walking,Always,no,no,no,Female,17.8125
24,1.6,48.0,Always,Three,1-2L,4-5 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Female,15.0
26,1.7,70.0,Always,One/Two,1-2L,4-5 days,0-2h,no,Public_Transportation,Frequently,no,no,Frequently,Male,20.58823529411765
23,1.66,60.0,Sometimes,Three,1-2L,2-4 days,0-2h,no,Public_Transportation,Sometimes,no,no,Sometimes,Female,18.072289156626507
21,1.52,42.0,Always,One/Two,<1L,0 days,0-2h,no,Public_Transportation,Frequently,no,no,Sometimes,Female,13.81578947368421
21,1.52,42.0,Always,One/Two,<1L,0 days,0-2h,no,Public_Transportation,Frequently,no,no,Sometimes,Female,13.81578947368421
23,1.72,70.0,Sometimes,Three,1-2L,2-4 days,3-5h,no,Public_Transportation,Sometimes,no,no,Frequently,Male,20.348837209302324
21,1.69,63.0,Always,One/Two,<1L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,18.63905325443787
22,1.7,66.4,Sometimes,Three,1-2L,0 days,0-2h,no,Public_Transportation,Frequently,no,no,no,Male,19.529411764705884
21,1.55,57.0,Sometimes,More than 3,1-2L,4-5 days,0-2h,yes,Automobile,Frequently,no,yes,Sometimes,Female,18.387096774193548
22,1.65,58.0,Always,More than 3,1-2L,1-2 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Female,17.575757575757578
38,1.56,80.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Female,25.64102564102564
25,1.57,55.0,Sometimes,One/Two,1-2L,4-5 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,17.515923566878982
25,1.57,55.0,Sometimes,One/Two,1-2L,4-5 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,17.515923566878982
22,1.88,90.0,Sometimes,Three,<1L,0 days,3-5h,yes,Automobile,Always,no,no,Sometimes,Male,23.93617021276596
22,1.75,95.0,Sometimes,Three,>2L,2-4 days,>5h,no,Walking,Sometimes,no,no,no,Male,27.142857142857142
21,1.65,88.0,Always,One/Two,>2L,4-5 days,3-5h,yes,Public_Transportation,Sometimes,no,no,no,Female,26.666666666666668
21,1.75,75.0,Always,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,21.428571428571427
22,1.58,58.0,Sometimes,One/Two,<1L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Female,18.354430379746834
18,1.56,51.0,Sometimes,More than 3,1-2L,1-2 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Female,16.346153846153847
22,1.5,49.0,Sometimes,One/Two,1-2L,2-4 days,0-2h,no,Walking,Sometimes,no,no,no,Female,16.333333333333332
19,1.61,62.0,Always,One/Two,1-2L,1-2 days,0-2h,yes,Public_Transportation,Frequently,no,no,Frequently,Female,19.254658385093165
17,1.75,57.0,Always,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Frequently,no,no,no,Female,16.285714285714285
15,1.65,86.0,Always,Three,<1L,2-4 days,>5h,yes,Walking,Sometimes,no,no,no,Female,26.060606060606062
17,1.7,85.0,Sometimes,Three,1-2L,1-2 days,3-5h,no,Public_Transportation,Frequently,no,no,no,Female,25.0
23,1.62,53.0,Sometimes,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,16.358024691358022
19,1.63,76.0,Always,Three,>2L,4-5 days,3-5h,no,Automobile,Frequently,yes,no,Sometimes,Female,23.312883435582823
23,1.67,75.0,Sometimes,Three,1-2L,0 days,>5h,yes,Walking,Frequently,yes,no,no,Female,22.455089820359284
23,1.87,95.0,Never,Three,1-2L,0 days,>5h,yes,Public_Transportation,Frequently,no,no,Frequently,Male,25.401069518716575
21,1.75,50.0,Always,More than 3,<1L,1-2 days,0-2h,no,Walking,Frequently,no,no,no,Male,14.285714285714286
24,1.66,67.0,Always,One/Two,1-2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Male,20.180722891566266
23,1.76,90.0,Always,Three,<1L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Male,25.568181818181817
18,1.75,80.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Public_Transportation,Always,no,no,Frequently,Male,22.857142857142858
19,1.67,68.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,20.35928143712575
19,1.65,61.0,Always,One/Two,>2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,yes,Sometimes,Female,18.484848484848484
20,1.72,70.0,Always,Three,<1L,0 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,20.348837209302324
27,1.7,78.0,Always,Three,>2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Frequently,Male,22.941176470588236
20,1.58,53.0,Sometimes,More than 3,1-2L,1-2 days,3-5h,yes,Public_Transportation,Frequently,no,no,no,Female,16.772151898734176
23,1.62,58.0,Sometimes,Three,<1L,1-2 days,0-2h,no,Public_Transportation,Sometimes,no,no,no,Male,17.901234567901234
19,1.65,56.0,Always,Three,>2L,1-2 days,>5h,yes,Public_Transportation,Frequently,yes,yes,Frequently,Female,16.96969696969697
61,1.65,66.0,Always,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Always,no,no,Frequently,Female,20.0
30,1.77,109.0,Always,Three,<1L,4-5 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Male,30.7909604519774
24,1.7,75.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Male,22.058823529411764
25,1.79,72.0,Sometimes,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,20.11173184357542
44,1.6,80.0,Sometimes,Three,>2L,0 days,0-2h,no,Motorbike,Sometimes,yes,no,no,Male,25.0
31,1.76,75.0,Always,Three,>2L,2-4 days,0-2h,no,Bike,Always,no,yes,no,Male,21.306818181818183
25,1.7,68.0,Sometimes,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Frequently,no,no,no,Male,20.0
23,1.89,65.0,Always,Three,>2L,1-2 days,3-5h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,17.195767195767196
25,1.87,66.0,Always,Three,1-2L,4-5 days,0-2h,yes,Public_Transportation,Always,no,no,Frequently,Male,17.64705882352941
23,1.74,93.5,Sometimes,Three,<1L,1-2 days,3-5h,yes,Automobile,Frequently,yes,no,Frequently,Male,26.867816091954023
34,1.68,75.0,Always,One/Two,<1L,0 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Female,22.321428571428573
22,1.61,67.0,Sometimes,More than 3,>2L,4-5 days,>5h,no,Public_Transportation,Sometimes,no,yes,Sometimes,Male,20.807453416149066
21,1.62,70.0,Sometimes,One/Two,>2L,1-2 days,0-2h,yes,Public_Transportation,no,no,no,Sometimes,Male,21.604938271604937
24,1.56,51.0,Always,Three,1-2L,4-5 days,>5h,no,Public_Transportation,Frequently,no,no,Frequently,Female,16.346153846153847
36,1.63,80.0,Always,Three,<1L,0 days,0-2h,no,Automobile,Sometimes,no,no,Sometimes,Female,24.539877300613497
27,1.6,61.0,Always,Three,1-2L,0 days,0-2h,yes,Automobile,Always,no,no,Sometimes,Female,19.0625
32,1.67,90.0,Always,One/Two,1-2L,4-5 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Female,26.94610778443114
25,1.78,78.0,Sometimes,One/Two,1-2L,4-5 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,21.91011235955056
30,1.62,59.0,Always,Three,1-2L,4-5 days,0-2h,yes,Automobile,Sometimes,no,no,Sometimes,Female,18.209876543209877
38,1.5,60.0,Sometimes,One/Two,1-2L,0 days,0-2h,yes,Automobile,Always,yes,no,Sometimes,Female,20.0
34,1.69,84.0,Sometimes,Three,>2L,4-5 days,0-2h,no,Automobile,Sometimes,no,no,no,Male,24.85207100591716
22,1.74,94.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,27.011494252873565
31,1.68,63.0,Always,One/Two,1-2L,1-2 days,3-5h,yes,Automobile,Frequently,no,no,Sometimes,Female,18.75
35,1.53,45.0,Always,Three,<1L,0 days,3-5h,no,Automobile,Frequently,no,no,no,Female,14.705882352941176
21,1.67,60.0,Sometimes,Three,1-2L,4-5 days,3-5h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,17.964071856287426
40,1.55,62.0,Always,Three,>2L,0 days,0-2h,no,Automobile,Sometimes,no,no,Sometimes,Female,20.0
27,1.64,78.0,Sometimes,One/Two,1-2L,0 days,0-2h,yes,Automobile,Sometimes,no,no,Frequently,Male,23.78048780487805
20,1.83,72.0,Always,Three,<1L,4-5 days,3-5h,no,Public_Transportation,Sometimes,yes,no,Sometimes,Male,19.672131147540984
55,1.65,80.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Automobile,Sometimes,no,no,no,Male,24.242424242424242
21,1.63,60.0,Always,Three,1-2L,4-5 days,0-2h,yes,Public_Transportation,Always,yes,no,Sometimes,Female,18.404907975460123
25,1.89,75.0,Always,Three,1-2L,2-4 days,0-2h,no,Public_Transportation,Frequently,no,yes,no,Male,19.841269841269842
35,1.77,85.0,Always,Three,>2L,4-5 days,3-5h,no,Automobile,Frequently,no,no,Sometimes,Male,24.01129943502825
30,1.92,130.0,Sometimes,Three,<1L,1-2 days,0-2h,no,Public_Transportation,Sometimes,yes,no,Sometimes,Male,33.85416666666667
29,1.74,72.0,Always,Three,1-2L,0 days,0-2h,no,Automobile,Always,no,no,Sometimes,Female,20.689655172413794
20,1.65,80.0,Sometimes,Three,1-2L,1-2 days,>5h,no,Walking,Sometimes,no,no,no,Male,24.242424242424242
22,1.73,79.0,Sometimes,One/Two,1-2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,22.832369942196532
45,1.63,77.0,Sometimes,Three,<1L,0 days,0-2h,yes,Automobile,Frequently,no,no,no,Female,23.619631901840492
22,1.72,82.0,Sometimes,One/Two,1-2L,4-5 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,23.837209302325583
18,1.6,58.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Male,18.125
23,1.65,59.0,Always,One/Two,1-2L,1-2 days,>5h,no,Public_Transportation,Sometimes,no,no,Sometimes,Female,17.87878787878788
18,1.74,64.0,Always,Three,1-2L,0 days,3-5h,no,Public_Transportation,Sometimes,no,yes,no,Male,18.39080459770115
21,1.62,70.0,Sometimes,One/Two,>2L,1-2 days,0-2h,yes,Public_Transportation,no,no,no,Sometimes,Male,21.604938271604937
38,1.64,59.8,Sometimes,Three,1-2L,4-5 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Female,18.23170731707317
18,1.57,48.0,Always,One/Two,<1L,1-2 days,0-2h,yes,Public_Transportation,Always,no,no,no,Female,15.286624203821656
22,1.84,84.0,Always,Three,1-2L,2-4 days,0-2h,yes,Public_Transportation,Frequently,no,yes,Sometimes,Male,22.82608695652174
26,1.91,84.0,Always,Three,1-2L,4-5 days,>5h,yes,Public_Transportation,Frequently,yes,no,Frequently,Male,21.98952879581152
21,1.62,70.0,Sometimes,One/Two,>2L,1-2 days,0-2h,yes,Public_Transportation,no,no,no,Sometimes,Male,21.604938271604937
18,1.58,48.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,no,Female,15.189873417721518
23,1.68,67.0,Sometimes,Three,<1L,0 days,0-2h,yes,Public_Transportation,Frequently,no,no,Sometimes,Female,19.94047619047619
22,1.68,52.0,Always,Three,1-2L,0 days,3-5h,yes,Public_Transportation,Frequently,no,no,no,Female,15.476190476190476
23,1.48,60.0,Sometimes,One/Two,<1L,0 days,0-2h,yes,Public_Transportation,Sometimes,yes,no,Sometimes,Female,20.27027027027027
21,1.62,70.0,Sometimes,One/Two,>2L,1-2 days,0-2h,yes,Public_Transportation,no,no,no,Sometimes,Male,21.604938271604937
31,1.62,68.0,Always,Three,1-2L,1-2 days,0-2h,no,Automobile,Sometimes,no,no,Sometimes,Female,20.98765432098765
39,1.78,96.0,Sometimes,Three,>2L,1-2 days,0-2h,no,Automobile,Sometimes,no,no,Frequently,Male,26.96629213483146
25,1.78,98.0,Sometimes,Three,>2L,2-4 days,>5h,no,Public_Transportation,Sometimes,no,no,no,Male,27.528089887640448
35,1.78,105.0,Always,One/Two,>2L,2-4 days,3-5h,yes,Automobile,no,no,no,Frequently,Male,29.49438202247191
33,1.63,62.0,Sometimes,Three,1-2L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,no,Female,19.018404907975462
20,1.6,56.0,Sometimes,Three,1-2L,1-2 days,0-2h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Male,17.5
26,1.75,80.0,Always,One/Two,1-2L,4-5 days,0-2h,yes,Public_Transportation,Frequently,yes,yes,Sometimes,Male,22.857142857142858
20,1.83,85.0,Always,Three,>2L,2-4 days,0-2h,no,Automobile,Sometimes,no,yes,Sometimes,Male,23.224043715846992
20,1.78,68.0,Sometimes,One/Two,>2L,4-5 days,3-5h,no,Public_Transportation,Frequently,no,yes,no,Male,19.10112359550562
23,1.6,83.0,Always,Three,>2L,2-4 days,0-2h,yes,Public_Transportation,Frequently,no,no,no,Female,25.9375
19,1.8,85.0,Always,Three,1-2L,1-2 days,3-5h,yes,Walking,Sometimes,no,no,Sometimes,Male,23.61111111111111
22,1.75,74.0,Sometimes,Three,1-2L,1-2 days,>5h,no,Bike,Sometimes,no,no,Sometimes,Male,21.142857142857142
41,1.75,118.0,Sometimes,Three,1-2L,0 days,0-2h,yes,Bike,Sometimes,no,no,Sometimes,Male,33.714285714285715
18,1.59,40.0,Sometimes,One/Two,<1L,0 days,>5h,yes,Public_Transportation,Frequently,no,no,no,Female,12.578616352201257
23,1.66,60.0,Sometimes,One/Two,<1L,1-2 days,3-5h,yes,Public_Transportation,Sometimes,no,no,Sometimes,Female,18.072289156626507
23,1.63,83.0,Always,One/Two,>2L,1-2 days,>5h,no,Public_Transportation,Sometimes,yes,no,Sometimes,Female,25.460122699386506
41,1.54,80.0,Sometimes,Three,<1L,0 days,0-2h,yes,Automobile,Always,no,no,Sometimes,Female,25.974025974025974
26,1.56,102.0,Always,Three,<1L,0 days,3-5h,yes,Public_Transportation,Sometimes,yes,no,Sometimes,Female,32.69230769230769
29,1.69,90.0,Sometimes,Three,>2L,1-2 days,0-2h,no,Automobile,Sometimes,no,no,Sometimes,Male,26.627218934911244
27,1.83,71.0,Sometimes,Three,1-2L,2-4 days,>5h,yes,Automobile,Sometimes,no,no,no,Male,19.398907103825135
